"town","tests_total","tests_pos","dt","tests_posn"
"Abington",412,"7",2020-08-12,7
"Acton",822,"<5",2020-08-12,2
"Acushnet",242,"<5",2020-08-12,2
"Adams",243,"0",2020-08-12,0
"Agawam",1571,"15",2020-08-12,15
"Alford",9,"0",2020-08-12,0
"Amesbury",583,"5",2020-08-12,5
"Amherst",1006,"12",2020-08-12,12
"Andover",1489,"14",2020-08-12,14
"Aquinnah",29,"0",2020-08-12,0
"Arlington",1715,"<5",2020-08-12,2
"Ashburnham",199,"<5",2020-08-12,2
"Ashby",88,"0",2020-08-12,0
"Ashfield",40,"0",2020-08-12,0
"Ashland",731,"6",2020-08-12,6
"Athol",439,"0",2020-08-12,0
"Attleboro",1026,"23",2020-08-12,23
"Auburn",517,"8",2020-08-12,8
"Avon",145,"<5",2020-08-12,2
"Ayer",352,"<5",2020-08-12,2
"Barnstable",1421,"12",2020-08-12,12
"Barre",158,"0",2020-08-12,0
"Becket",56,"0",2020-08-12,0
"Bedford",991,"10",2020-08-12,10
"Belchertown",566,"7",2020-08-12,7
"Bellingham",523,"<5",2020-08-12,2
"Belmont",966,"8",2020-08-12,8
"Berkley",214,"<5",2020-08-12,2
"Berlin",142,"0",2020-08-12,0
"Bernardston",88,"0",2020-08-12,0
"Beverly",1442,"17",2020-08-12,17
"Billerica",1431,"12",2020-08-12,12
"Blackstone",259,"6",2020-08-12,6
"Blandford",18,"0",2020-08-12,0
"Bolton",223,"<5",2020-08-12,2
"Boston",30166,"582",2020-08-12,582
"Bourne",609,"<5",2020-08-12,2
"Boxborough",226,"<5",2020-08-12,2
"Boxford",333,"<5",2020-08-12,2
"Boylston",168,"0",2020-08-12,0
"Braintree",1189,"6",2020-08-12,6
"Brewster",343,"<5",2020-08-12,2
"Bridgewater",703,"<5",2020-08-12,2
"Brimfield",119,"0",2020-08-12,0
"Brockton",3224,"96",2020-08-12,96
"Brookfield",143,"<5",2020-08-12,2
"Brookline",2374,"8",2020-08-12,8
"Buckland",11,"0",2020-08-12,0
"Burlington",747,"12",2020-08-12,12
"Cambridge",6371,"38",2020-08-12,38
"Canton",894,"14",2020-08-12,14
"Carlisle",200,"<5",2020-08-12,2
"Carver",266,"<5",2020-08-12,2
"Charlemont",47,"<5",2020-08-12,2
"Charlton",590,"11",2020-08-12,11
"Chatham",230,"0",2020-08-12,0
"Chelmsford",1406,"8",2020-08-12,8
"Chelsea",2675,"101",2020-08-12,101
"Cheshire",122,"0",2020-08-12,0
"Chester",29,"0",2020-08-12,0
"Chesterfield",24,"<5",2020-08-12,2
"Chicopee",1950,"47",2020-08-12,47
"Chilmark",158,"0",2020-08-12,0
"Clarksburg",39,"0",2020-08-12,0
"Clinton",602,"<5",2020-08-12,2
"Cohasset",159,"<5",2020-08-12,2
"Colrain",48,"0",2020-08-12,0
"Concord",814,"<5",2020-08-12,2
"Conway",77,"0",2020-08-12,0
"Cummington",29,"0",2020-08-12,0
"Dalton",242,"<5",2020-08-12,2
"Danvers",1049,"13",2020-08-12,13
"Dartmouth",801,"8",2020-08-12,8
"Dedham",941,"7",2020-08-12,7
"Deerfield",224,"<5",2020-08-12,2
"Dennis",344,"<5",2020-08-12,2
"Dighton",186,"0",2020-08-12,0
"Douglas",249,"<5",2020-08-12,2
"Dover",276,"0",2020-08-12,0
"Dracut",1284,"10",2020-08-12,10
"Dudley",402,"6",2020-08-12,6
"Dunstable",83,"0",2020-08-12,0
"Duxbury",483,"<5",2020-08-12,2
"East Bridgewater",345,"<5",2020-08-12,2
"East Brookfield",63,"0",2020-08-12,0
"East Longmeadow",560,"6",2020-08-12,6
"Eastham",121,"<5",2020-08-12,2
"Easthampton",679,"9",2020-08-12,9
"Easton",1083,"7",2020-08-12,7
"Edgartown",396,"0",2020-08-12,0
"Egremont",24,"0",2020-08-12,0
"Erving",50,"0",2020-08-12,0
"Essex",97,"0",2020-08-12,0
"Everett",1887,"76",2020-08-12,76
"Fairhaven",442,"5",2020-08-12,5
"Fall River",3782,"93",2020-08-12,93
"Falmouth",1350,"7",2020-08-12,7
"Fitchburg",1297,"21",2020-08-12,21
"Florida",11,"0",2020-08-12,0
"Foxborough",1546,"6",2020-08-12,6
"Framingham",2996,"58",2020-08-12,58
"Franklin",1071,"12",2020-08-12,12
"Freetown",223,"<5",2020-08-12,2
"Gardner",681,"<5",2020-08-12,2
"Georgetown",259,"9",2020-08-12,9
"Gill",50,"0",2020-08-12,0
"Gloucester",937,"5",2020-08-12,5
"Goshen",23,"0",2020-08-12,0
"Gosnold",0,"0",2020-08-12,0
"Grafton",616,"<5",2020-08-12,2
"Granby",258,"7",2020-08-12,7
"Granville",45,"0",2020-08-12,0
"Great Barrington",306,"<5",2020-08-12,2
"Greenfield",758,"7",2020-08-12,7
"Groton",398,"0",2020-08-12,0
"Groveland",182,"<5",2020-08-12,2
"Hadley",378,"0",2020-08-12,0
"Halifax",178,"0",2020-08-12,0
"Hamilton",321,"<5",2020-08-12,2
"Hampden",138,"0",2020-08-12,0
"Hancock",10,"<5",2020-08-12,2
"Hanover",334,"5",2020-08-12,5
"Hanson",225,"<5",2020-08-12,2
"Hardwick",64,"0",2020-08-12,0
"Harvard",220,"0",2020-08-12,0
"Harwich",494,"<5",2020-08-12,2
"Hatfield",137,"<5",2020-08-12,2
"Haverhill",2270,"22",2020-08-12,22
"Hawley",5,"0",2020-08-12,0
"Heath",7,"0",2020-08-12,0
"Hingham",844,"<5",2020-08-12,2
"Hinsdale",77,"0",2020-08-12,0
"Holbrook",313,"<5",2020-08-12,2
"Holden",765,"<5",2020-08-12,2
"Holland",90,"<5",2020-08-12,2
"Holliston",568,"6",2020-08-12,6
"Holyoke",2717,"52",2020-08-12,52
"Hopedale",248,"<5",2020-08-12,2
"Hopkinton",657,"<5",2020-08-12,2
"Hubbardston",126,"<5",2020-08-12,2
"Hudson",801,"5",2020-08-12,5
"Hull",258,"11",2020-08-12,11
"Huntington",85,"0",2020-08-12,0
"Ipswich",469,"6",2020-08-12,6
"Kingston",418,"5",2020-08-12,5
"Lakeville",312,"0",2020-08-12,0
"Lancaster",322,"<5",2020-08-12,2
"Lanesborough",83,"0",2020-08-12,0
"Lawrence",4437,"105",2020-08-12,105
"Lee",221,"0",2020-08-12,0
"Leicester",351,"<5",2020-08-12,2
"Lenox",244,"<5",2020-08-12,2
"Leominster",1417,"18",2020-08-12,18
"Leverett",65,"0",2020-08-12,0
"Lexington",982,"<5",2020-08-12,2
"Leyden",6,"0",2020-08-12,0
"Lincoln",276,"<5",2020-08-12,2
"Littleton",406,"<5",2020-08-12,2
"Longmeadow",705,"10",2020-08-12,10
"Lowell",4934,"40",2020-08-12,40
"Ludlow",660,"5",2020-08-12,5
"Lunenburg",353,"<5",2020-08-12,2
"Lynn",5356,"343",2020-08-12,343
"Lynnfield",463,"6",2020-08-12,6
"Malden",2140,"49",2020-08-12,49
"Manchester",163,"0",2020-08-12,0
"Mansfield",656,"10",2020-08-12,10
"Marblehead",764,"8",2020-08-12,8
"Marion",433,"<5",2020-08-12,2
"Marlborough",2142,"36",2020-08-12,36
"Marshfield",667,"<5",2020-08-12,2
"Mashpee",539,"<5",2020-08-12,2
"Mattapoisett",160,"0",2020-08-12,0
"Maynard",410,"7",2020-08-12,7
"Medfield",428,"<5",2020-08-12,2
"Medford",2400,"38",2020-08-12,38
"Medway",488,"<5",2020-08-12,2
"Melrose",1260,"8",2020-08-12,8
"Mendon",186,"0",2020-08-12,0
"Merrimac",194,"<5",2020-08-12,2
"Methuen",1939,"15",2020-08-12,15
"Middleborough",844,"7",2020-08-12,7
"Middlefield",4,"0",2020-08-12,0
"Middleton",297,"7",2020-08-12,7
"Milford",1108,"13",2020-08-12,13
"Millbury",434,"10",2020-08-12,10
"Millis",260,"<5",2020-08-12,2
"Millville",82,"<5",2020-08-12,2
"Milton",970,"14",2020-08-12,14
"Monroe",0,"0",2020-08-12,0
"Monson",266,"<5",2020-08-12,2
"Montague",259,"0",2020-08-12,0
"Monterey",34,"0",2020-08-12,0
"Montgomery",11,"0",2020-08-12,0
"Mount Washington",3,"0",2020-08-12,0
"Nahant",172,"<5",2020-08-12,2
"Nantucket",451,"<5",2020-08-12,2
"Natick",1314,"8",2020-08-12,8
"Needham",1382,"14",2020-08-12,14
"New Ashford",6,"0",2020-08-12,0
"New Bedford",3259,"62",2020-08-12,62
"New Braintree",24,"0",2020-08-12,0
"New Marlborough",29,"<5",2020-08-12,2
"New Salem",41,"<5",2020-08-12,2
"Newbury",202,"<5",2020-08-12,2
"Newburyport",758,"<5",2020-08-12,2
"Newton",3907,"37",2020-08-12,37
"Norfolk",387,"<5",2020-08-12,2
"North Adams",328,"<5",2020-08-12,2
"North Andover",1332,"10",2020-08-12,10
"North Attleborough",706,"16",2020-08-12,16
"North Brookfield",188,"<5",2020-08-12,2
"North Reading",636,"5",2020-08-12,5
"Northampton",1653,"18",2020-08-12,18
"Northborough",660,"<5",2020-08-12,2
"Northbridge",581,"11",2020-08-12,11
"Northfield",108,"<5",2020-08-12,2
"Norton",521,"<5",2020-08-12,2
"Norwell",301,"<5",2020-08-12,2
"Norwood",971,"14",2020-08-12,14
"Oak Bluffs",244,"<5",2020-08-12,2
"Oakham",68,"<5",2020-08-12,2
"Orange",307,"0",2020-08-12,0
"Orleans",133,"0",2020-08-12,0
"Otis",53,"0",2020-08-12,0
"Oxford",428,"<5",2020-08-12,2
"Palmer",356,"6",2020-08-12,6
"Paxton",143,"<5",2020-08-12,2
"Peabody",2290,"52",2020-08-12,52
"Pelham",42,"0",2020-08-12,0
"Pembroke",391,"6",2020-08-12,6
"Pepperell",337,"<5",2020-08-12,2
"Peru",14,"0",2020-08-12,0
"Petersham",34,"0",2020-08-12,0
"Phillipston",47,"0",2020-08-12,0
"Pittsfield",1663,"12",2020-08-12,12
"Plainfield",20,"0",2020-08-12,0
"Plainville",228,"<5",2020-08-12,2
"Plymouth",1746,"11",2020-08-12,11
"Plympton",58,"0",2020-08-12,0
"Princeton",150,"0",2020-08-12,0
"Provincetown",87,"<5",2020-08-12,2
"Quincy",3155,"62",2020-08-12,62
"Randolph",1406,"27",2020-08-12,27
"Raynham",402,"<5",2020-08-12,2
"Reading",929,"<5",2020-08-12,2
"Rehoboth",247,"9",2020-08-12,9
"Revere",3457,"157",2020-08-12,157
"Richmond",44,"0",2020-08-12,0
"Rochester",133,"<5",2020-08-12,2
"Rockland",414,"<5",2020-08-12,2
"Rockport",222,"<5",2020-08-12,2
"Rowe",10,"0",2020-08-12,0
"Rowley",246,"<5",2020-08-12,2
"Royalston",38,"0",2020-08-12,0
"Russell",52,"<5",2020-08-12,2
"Rutland",320,"<5",2020-08-12,2
"Salem",1829,"52",2020-08-12,52
"Salisbury",219,"<5",2020-08-12,2
"Sandisfield",45,"<5",2020-08-12,2
"Sandwich",596,"<5",2020-08-12,2
"Saugus",1083,"36",2020-08-12,36
"Savoy",15,"0",2020-08-12,0
"Scituate",416,"<5",2020-08-12,2
"Seekonk",293,"8",2020-08-12,8
"Sharon",673,"7",2020-08-12,7
"Sheffield",90,"0",2020-08-12,0
"Shelburne",111,"0",2020-08-12,0
"Sherborn",175,"<5",2020-08-12,2
"Shirley",197,"<5",2020-08-12,2
"Shrewsbury",1503,"12",2020-08-12,12
"Shutesbury",87,"0",2020-08-12,0
"Somerset",535,"<5",2020-08-12,2
"Somerville",4446,"40",2020-08-12,40
"South Hadley",644,"16",2020-08-12,16
"Southampton",208,"0",2020-08-12,0
"Southborough",368,"0",2020-08-12,0
"Southbridge",788,"8",2020-08-12,8
"Southwick",335,"<5",2020-08-12,2
"Spencer",423,"7",2020-08-12,7
"Springfield",5142,"92",2020-08-12,92
"Sterling",474,"0",2020-08-12,0
"Stockbridge",62,"0",2020-08-12,0
"Stoneham",901,"12",2020-08-12,12
"Stoughton",972,"16",2020-08-12,16
"Stow",292,"<5",2020-08-12,2
"Sturbridge",340,"<5",2020-08-12,2
"Sudbury",835,"5",2020-08-12,5
"Sunderland",115,"<5",2020-08-12,2
"Sutton",285,"6",2020-08-12,6
"Swampscott",525,"<5",2020-08-12,2
"Swansea",455,"5",2020-08-12,5
"Taunton",2391,"26",2020-08-12,26
"Templeton",292,"0",2020-08-12,0
"Tewksbury",1622,"13",2020-08-12,13
"Tisbury",437,"<5",2020-08-12,2
"Tolland",4,"0",2020-08-12,0
"Topsfield",351,"5",2020-08-12,5
"Townsend",256,"<5",2020-08-12,2
"Truro",56,"<5",2020-08-12,2
"Tyngsborough",403,"6",2020-08-12,6
"Tyringham",8,"0",2020-08-12,0
"Upton",225,"<5",2020-08-12,2
"Uxbridge",492,"<5",2020-08-12,2
"Wakefield",1097,"11",2020-08-12,11
"Wales",61,"0",2020-08-12,0
"Walpole",802,"6",2020-08-12,6
"Waltham",2370,"13",2020-08-12,13
"Ware",343,"0",2020-08-12,0
"Wareham",492,"<5",2020-08-12,2
"Warren",141,"0",2020-08-12,0
"Warwick",22,"0",2020-08-12,0
"Washington",13,"0",2020-08-12,0
"Watertown",1331,"6",2020-08-12,6
"Wayland",536,"0",2020-08-12,0
"Webster",786,"7",2020-08-12,7
"Wellesley",1096,"7",2020-08-12,7
"Wellfleet",178,"<5",2020-08-12,2
"Wendell",33,"0",2020-08-12,0
"Wenham",170,"<5",2020-08-12,2
"West Boylston",268,"<5",2020-08-12,2
"West Bridgewater",363,"<5",2020-08-12,2
"West Brookfield",200,"0",2020-08-12,0
"West Newbury",139,"0",2020-08-12,0
"West Springfield",851,"13",2020-08-12,13
"West Stockbridge",50,"0",2020-08-12,0
"West Tisbury",167,"<5",2020-08-12,2
"Westborough",745,"10",2020-08-12,10
"Westfield",1340,"17",2020-08-12,17
"Westford",904,"12",2020-08-12,12
"Westhampton",39,"0",2020-08-12,0
"Westminster",267,"0",2020-08-12,0
"Weston",547,"<5",2020-08-12,2
"Westport",537,"5",2020-08-12,5
"Westwood",578,"6",2020-08-12,6
"Weymouth",1551,"20",2020-08-12,20
"Whately",35,"0",2020-08-12,0
"Whitman",366,"<5",2020-08-12,2
"Wilbraham",544,"7",2020-08-12,7
"Williamsburg",157,"<5",2020-08-12,2
"Williamstown",222,"0",2020-08-12,0
"Wilmington",609,"5",2020-08-12,5
"Winchendon",333,"<5",2020-08-12,2
"Winchester",993,"<5",2020-08-12,2
"Windsor",19,"0",2020-08-12,0
"Winthrop",794,"20",2020-08-12,20
"Woburn",1415,"17",2020-08-12,17
"Worcester",9246,"136",2020-08-12,136
"Worthington",47,"0",2020-08-12,0
"Wrentham",554,"9",2020-08-12,9
"Yarmouth",598,"<5",2020-08-12,2
"Unknown",7948,"65",2020-08-12,65
"State",274434,"3913",2020-08-12,3913
