"town","tests_total","tests_pos","dt","tests_posn"
"Abington",1590,"129",2020-12-10,129
"Acton",2293,"88",2020-12-10,88
"Acushnet",1324,"93",2020-12-10,93
"Adams",734,"24",2020-12-10,24
"Agawam",3405,"199",2020-12-10,199
"Alford",14,"0",2020-12-10,0
"Amesbury",1771,"122",2020-12-10,122
"Amherst",7181,"113",2020-12-10,113
"Andover",4898,"257",2020-12-10,257
"Aquinnah",24,"0",2020-12-10,0
"Arlington",6292,"182",2020-12-10,182
"Ashburnham",501,"29",2020-12-10,29
"Ashby",201,"14",2020-12-10,14
"Ashfield",91,"3",2020-12-10,3
"Ashland",2348,"126",2020-12-10,126
"Athol",1036,"39",2020-12-10,39
"Attleboro",4156,"384",2020-12-10,384
"Auburn",2143,"137",2020-12-10,137
"Avon",401,"28",2020-12-10,28
"Ayer",1008,"43",2020-12-10,43
"Barnstable",4613,"339",2020-12-10,339
"Barre",408,"21",2020-12-10,21
"Becket",159,"2",2020-12-10,2
"Bedford",1838,"44",2020-12-10,44
"Belchertown",1716,"75",2020-12-10,75
"Bellingham",1366,"100",2020-12-10,100
"Belmont",3687,"97",2020-12-10,97
"Berkley",583,"47",2020-12-10,47
"Berlin",366,"19",2020-12-10,19
"Bernardston",175,"4",2020-12-10,4
"Beverly",7424,"256",2020-12-10,256
"Billerica",4651,"323",2020-12-10,323
"Blackstone",707,"63",2020-12-10,63
"Blandford",96,"4",2020-12-10,4
"Bolton",616,"13",2020-12-10,13
"Boston",177922,"5024",2020-12-10,5024
"Bourne",1989,"81",2020-12-10,81
"Boxborough",482,"13",2020-12-10,13
"Boxford",1001,"67",2020-12-10,67
"Boylston",570,"38",2020-12-10,38
"Braintree",6381,"286",2020-12-10,286
"Brewster",1050,"18",2020-12-10,18
"Bridgewater",3809,"196",2020-12-10,196
"Brimfield",296,"14",2020-12-10,14
"Brockton",10144,"848",2020-12-10,848
"Brookfield",263,"14",2020-12-10,14
"Brookline",12142,"136",2020-12-10,136
"Buckland",23,"5",2020-12-10,5
"Burlington",3071,"163",2020-12-10,163
"Cambridge",41023,"414",2020-12-10,414
"Canton",2916,"84",2020-12-10,84
"Carlisle",463,"6",2020-12-10,6
"Carver",832,"57",2020-12-10,57
"Charlemont",95,"1",2020-12-10,1
"Charlton",1792,"108",2020-12-10,108
"Chatham",483,"6",2020-12-10,6
"Chelmsford",3868,"260",2020-12-10,260
"Chelsea",7089,"590",2020-12-10,590
"Cheshire",283,"3",2020-12-10,3
"Chester",70,"3",2020-12-10,3
"Chesterfield",70,"2",2020-12-10,2
"Chicopee",6114,"587",2020-12-10,587
"Chilmark",182,"0",2020-12-10,0
"Clarksburg",101,"6",2020-12-10,6
"Clinton",1310,"107",2020-12-10,107
"Cohasset",840,"25",2020-12-10,25
"Colrain",106,"1",2020-12-10,1
"Concord",2562,"234",2020-12-10,234
"Conway",137,"2",2020-12-10,2
"Cummington",67,"0",2020-12-10,0
"Dalton",927,"25",2020-12-10,25
"Danvers",4617,"315",2020-12-10,315
"Dartmouth",4653,"321",2020-12-10,321
"Dedham",3329,"154",2020-12-10,154
"Deerfield",486,"18",2020-12-10,18
"Dennis",939,"42",2020-12-10,42
"Dighton",648,"54",2020-12-10,54
"Douglas",658,"44",2020-12-10,44
"Dover",934,"28",2020-12-10,28
"Dracut",3775,"447",2020-12-10,447
"Dudley",1123,"67",2020-12-10,67
"Dunstable",268,"17",2020-12-10,17
"Duxbury",1584,"52",2020-12-10,52
"East Bridgewater",1384,"110",2020-12-10,110
"East Brookfield",188,"12",2020-12-10,12
"East Longmeadow",2227,"101",2020-12-10,101
"Eastham",263,"8",2020-12-10,8
"Easthampton",2177,"71",2020-12-10,71
"Easton",3216,"107",2020-12-10,107
"Edgartown",715,"30",2020-12-10,30
"Egremont",75,"1",2020-12-10,1
"Erving",142,"10",2020-12-10,10
"Essex",327,"10",2020-12-10,10
"Everett",7320,"731",2020-12-10,731
"Fairhaven",2627,"189",2020-12-10,189
"Fall River",10323,"1393",2020-12-10,1393
"Falmouth",4141,"137",2020-12-10,137
"Fitchburg",4135,"412",2020-12-10,412
"Florida",42,"2",2020-12-10,2
"Foxborough",2745,"102",2020-12-10,102
"Framingham",9842,"725",2020-12-10,725
"Franklin",3165,"142",2020-12-10,142
"Freetown",827,"80",2020-12-10,80
"Gardner",1897,"201",2020-12-10,201
"Georgetown",906,"55",2020-12-10,55
"Gill",103,"5",2020-12-10,5
"Gloucester",2925,"180",2020-12-10,180
"Goshen",38,"5",2020-12-10,5
"Gosnold",0,"0",2020-12-10,0
"Grafton",2235,"130",2020-12-10,130
"Granby",628,"30",2020-12-10,30
"Granville",143,"5",2020-12-10,5
"Great Barrington",914,"21",2020-12-10,21
"Greenfield",1701,"69",2020-12-10,69
"Groton",1331,"62",2020-12-10,62
"Groveland",715,"52",2020-12-10,52
"Hadley",1004,"14",2020-12-10,14
"Halifax",594,"48",2020-12-10,48
"Hamilton",864,"33",2020-12-10,33
"Hampden",568,"22",2020-12-10,22
"Hancock",18,"4",2020-12-10,4
"Hanover",1186,"87",2020-12-10,87
"Hanson",804,"65",2020-12-10,65
"Hardwick",165,"8",2020-12-10,8
"Harvard",450,"16",2020-12-10,16
"Harwich",921,"48",2020-12-10,48
"Hatfield",318,"5",2020-12-10,5
"Haverhill",9472,"914",2020-12-10,914
"Hawley",6,"0",2020-12-10,0
"Heath",20,"3",2020-12-10,3
"Hingham",3461,"115",2020-12-10,115
"Hinsdale",189,"3",2020-12-10,3
"Holbrook",1007,"74",2020-12-10,74
"Holden",2487,"155",2020-12-10,155
"Holland",193,"14",2020-12-10,14
"Holliston",1453,"57",2020-12-10,57
"Holyoke",6294,"462",2020-12-10,462
"Hopedale",575,"35",2020-12-10,35
"Hopkinton",1894,"63",2020-12-10,63
"Hubbardston",323,"13",2020-12-10,13
"Hudson",2132,"144",2020-12-10,144
"Hull",803,"25",2020-12-10,25
"Huntington",182,"6",2020-12-10,6
"Ipswich",1374,"62",2020-12-10,62
"Kingston",1593,"51",2020-12-10,51
"Lakeville",1050,"92",2020-12-10,92
"Lancaster",853,"28",2020-12-10,28
"Lanesborough",276,"9",2020-12-10,9
"Lawrence",14345,"2448",2020-12-10,2448
"Lee",591,"22",2020-12-10,22
"Leicester",1357,"109",2020-12-10,109
"Lenox",1085,"65",2020-12-10,65
"Leominster",4578,"456",2020-12-10,456
"Leverett",242,"3",2020-12-10,3
"Lexington",3525,"58",2020-12-10,58
"Leyden",23,"2",2020-12-10,2
"Lincoln",808,"11",2020-12-10,11
"Littleton",1068,"59",2020-12-10,59
"Longmeadow",2306,"63",2020-12-10,63
"Lowell",15813,"1881",2020-12-10,1881
"Ludlow",2486,"278",2020-12-10,278
"Lunenburg",993,"68",2020-12-10,68
"Lynn",12447,"1527",2020-12-10,1527
"Lynnfield",2092,"147",2020-12-10,147
"Malden",8621,"619",2020-12-10,619
"Manchester",851,"31",2020-12-10,31
"Mansfield",2454,"149",2020-12-10,149
"Marblehead",2806,"108",2020-12-10,108
"Marion",674,"46",2020-12-10,46
"Marlborough",6072,"370",2020-12-10,370
"Marshfield",2174,"126",2020-12-10,126
"Mashpee",1500,"53",2020-12-10,53
"Mattapoisett",747,"38",2020-12-10,38
"Maynard",1146,"52",2020-12-10,52
"Medfield",1642,"49",2020-12-10,49
"Medford",20858,"466",2020-12-10,466
"Medway",1304,"65",2020-12-10,65
"Melrose",4596,"230",2020-12-10,230
"Mendon",482,"40",2020-12-10,40
"Merrimac",716,"40",2020-12-10,40
"Methuen",7900,"974",2020-12-10,974
"Middleborough",2366,"173",2020-12-10,173
"Middlefield",21,"2",2020-12-10,2
"Middleton",1236,"148",2020-12-10,148
"Milford",2795,"272",2020-12-10,272
"Millbury",1358,"109",2020-12-10,109
"Millis",768,"44",2020-12-10,44
"Millville",226,"11",2020-12-10,11
"Milton",4591,"194",2020-12-10,194
"Monroe",3,"0",2020-12-10,0
"Monson",663,"27",2020-12-10,27
"Montague",667,"36",2020-12-10,36
"Monterey",85,"1",2020-12-10,1
"Montgomery",23,"0",2020-12-10,0
"Mount Washington",2,"0",2020-12-10,0
"Nahant",657,"16",2020-12-10,16
"Nantucket",1868,"171",2020-12-10,171
"Natick",5008,"118",2020-12-10,118
"Needham",5075,"109",2020-12-10,109
"New Ashford",8,"0",2020-12-10,0
"New Bedford",12662,"1256",2020-12-10,1256
"New Braintree",80,"7",2020-12-10,7
"New Marlborough",72,"2",2020-12-10,2
"New Salem",62,"1",2020-12-10,1
"Newbury",610,"32",2020-12-10,32
"Newburyport",2692,"131",2020-12-10,131
"Newton",24946,"333",2020-12-10,333
