"town","tests_total","tests_pos","dt","tests_posn"
"Abington",286,"5",2020-07-29,5
"Acton",551,"5",2020-07-29,5
"Acushnet",166,"6",2020-07-29,6
"Adams",180,"0",2020-07-29,0
"Agawam",851,"20",2020-07-29,20
"Alford",2,"0",2020-07-29,0
"Amesbury",474,"4",2020-07-29,4
"Amherst",669,"3",2020-07-29,3
"Andover",1160,"8",2020-07-29,8
"Aquinnah",20,"0",2020-07-29,0
"Arlington",1166,"8",2020-07-29,8
"Ashburnham",135,"0",2020-07-29,0
"Ashby",50,"0",2020-07-29,0
"Ashfield",35,"1",2020-07-29,1
"Ashland",432,"16",2020-07-29,16
"Athol",360,"1",2020-07-29,1
"Attleboro",635,"12",2020-07-29,12
"Auburn",330,"3",2020-07-29,3
"Avon",100,"3",2020-07-29,3
"Ayer",278,"7",2020-07-29,7
"Barnstable",920,"17",2020-07-29,17
"Barre",111,"0",2020-07-29,0
"Becket",43,"0",2020-07-29,0
"Bedford",545,"7",2020-07-29,7
"Belchertown",421,"15",2020-07-29,15
"Bellingham",266,"2",2020-07-29,2
"Belmont",638,"6",2020-07-29,6
"Berkley",87,"1",2020-07-29,1
"Berlin",66,"1",2020-07-29,1
"Bernardston",55,"0",2020-07-29,0
"Beverly",1077,"16",2020-07-29,16
"Billerica",1041,"10",2020-07-29,10
"Blackstone",123,"0",2020-07-29,0
"Blandford",19,"0",2020-07-29,0
"Bolton",126,"0",2020-07-29,0
"Boston",20272,"389",2020-07-29,389
"Bourne",547,"6",2020-07-29,6
"Boxborough",118,"0",2020-07-29,0
"Boxford",201,"4",2020-07-29,4
"Boylston",100,"1",2020-07-29,1
"Braintree",872,"15",2020-07-29,15
"Brewster",285,"8",2020-07-29,8
"Bridgewater",414,"4",2020-07-29,4
"Brimfield",83,"2",2020-07-29,2
"Brockton",1898,"79",2020-07-29,79
"Brookfield",105,"2",2020-07-29,2
"Brookline",1636,"16",2020-07-29,16
"Buckland",1,"0",2020-07-29,0
"Burlington",642,"4",2020-07-29,4
"Cambridge",4522,"34",2020-07-29,34
"Canton",688,"10",2020-07-29,10
"Carlisle",118,"0",2020-07-29,0
"Carver",237,"4",2020-07-29,4
"Charlemont",23,"2",2020-07-29,2
"Charlton",444,"7",2020-07-29,7
"Chatham",139,"2",2020-07-29,2
"Chelmsford",871,"7",2020-07-29,7
"Chelsea",1993,"75",2020-07-29,75
"Cheshire",89,"0",2020-07-29,0
"Chester",24,"0",2020-07-29,0
"Chesterfield",33,"0",2020-07-29,0
"Chicopee",1416,"47",2020-07-29,47
"Chilmark",111,"0",2020-07-29,0
"Clarksburg",40,"0",2020-07-29,0
"Clinton",347,"4",2020-07-29,4
"Cohasset",130,"1",2020-07-29,1
"Colrain",42,"0",2020-07-29,0
"Concord",532,"8",2020-07-29,8
"Conway",40,"0",2020-07-29,0
"Cummington",19,"0",2020-07-29,0
"Dalton",162,"0",2020-07-29,0
"Danvers",743,"6",2020-07-29,6
"Dartmouth",656,"12",2020-07-29,12
"Dedham",681,"8",2020-07-29,8
"Deerfield",164,"1",2020-07-29,1
"Dennis",282,"4",2020-07-29,4
"Dighton",101,"1",2020-07-29,1
"Douglas",146,"0",2020-07-29,0
"Dover",127,"2",2020-07-29,2
"Dracut",909,"7",2020-07-29,7
"Dudley",271,"1",2020-07-29,1
"Dunstable",48,"0",2020-07-29,0
"Duxbury",312,"0",2020-07-29,0
"East Bridgewater",227,"5",2020-07-29,5
"East Brookfield",44,"0",2020-07-29,0
"East Longmeadow",396,"4",2020-07-29,4
"Eastham",110,"3",2020-07-29,3
"Easthampton",509,"9",2020-07-29,9
"Easton",412,"12",2020-07-29,12
"Edgartown",308,"0",2020-07-29,0
"Egremont",33,"2",2020-07-29,2
"Erving",41,"0",2020-07-29,0
"Essex",75,"0",2020-07-29,0
"Everett",1384,"54",2020-07-29,54
"Fairhaven",321,"3",2020-07-29,3
"Fall River",2367,"97",2020-07-29,97
"Falmouth",1014,"24",2020-07-29,24
"Fitchburg",828,"11",2020-07-29,11
"Florida",19,"0",2020-07-29,0
"Foxborough",584,"6",2020-07-29,6
"Framingham",1520,"47",2020-07-29,47
"Franklin",585,"5",2020-07-29,5
"Freetown",127,"5",2020-07-29,5
"Gardner",689,"4",2020-07-29,4
"Georgetown",195,"1",2020-07-29,1
"Gill",36,"0",2020-07-29,0
"Gloucester",740,"11",2020-07-29,11
"Goshen",12,"0",2020-07-29,0
"Gosnold",103,"5",2020-07-29,5
"Grafton",420,"1",2020-07-29,1
"Granby",115,"0",2020-07-29,0
"Granville",27,"0",2020-07-29,0
"Great Barrington",347,"0",2020-07-29,0
"Greenfield",509,"2",2020-07-29,2
"Groton",247,"1",2020-07-29,1
"Groveland",147,"1",2020-07-29,1
"Hadley",248,"1",2020-07-29,1
"Halifax",125,"1",2020-07-29,1
"Hamilton",190,"4",2020-07-29,4
"Hampden",101,"1",2020-07-29,1
"Hancock",8,"0",2020-07-29,0
"Hanover",214,"0",2020-07-29,0
"Hanson",174,"1",2020-07-29,1
"Hardwick",43,"1",2020-07-29,1
"Harvard",136,"0",2020-07-29,0
"Harwich",378,"8",2020-07-29,8
"Hatfield",85,"0",2020-07-29,0
"Haverhill",1637,"23",2020-07-29,23
"Hawley",5,"0",2020-07-29,0
"Heath",9,"0",2020-07-29,0
"Hingham",385,"8",2020-07-29,8
"Hinsdale",67,"1",2020-07-29,1
"Holbrook",226,"4",2020-07-29,4
"Holden",540,"6",2020-07-29,6
"Holland",68,"2",2020-07-29,2
"Holliston",253,"0",2020-07-29,0
"Holyoke",1622,"38",2020-07-29,38
"Hopedale",223,"2",2020-07-29,2
"Hopkinton",366,"1",2020-07-29,1
"Hubbardston",92,"0",2020-07-29,0
"Hudson",472,"0",2020-07-29,0
"Hull",181,"1",2020-07-29,1
"Huntington",64,"0",2020-07-29,0
"Ipswich",406,"3",2020-07-29,3
"Kingston",269,"2",2020-07-29,2
"Lakeville",175,"0",2020-07-29,0
"Lancaster",197,"2",2020-07-29,2
"Lanesborough",71,"0",2020-07-29,0
"Lawrence",3249,"104",2020-07-29,104
"Lee",185,"3",2020-07-29,3
"Leicester",215,"4",2020-07-29,4
"Lenox",198,"2",2020-07-29,2
"Leominster",906,"14",2020-07-29,14
"Leverett",51,"0",2020-07-29,0
"Lexington",730,"5",2020-07-29,5
"Leyden",2,"0",2020-07-29,0
"Lincoln",167,"0",2020-07-29,0
"Littleton",245,"0",2020-07-29,0
"Longmeadow",450,"10",2020-07-29,10
"Lowell",3615,"71",2020-07-29,71
"Ludlow",496,"2",2020-07-29,2
"Lunenburg",213,"1",2020-07-29,1
"Lynn",3985,"175",2020-07-29,175
"Lynnfield",318,"3",2020-07-29,3
"Malden",1623,"39",2020-07-29,39
"Manchester",148,"1",2020-07-29,1
"Mansfield",413,"9",2020-07-29,9
"Marblehead",686,"8",2020-07-29,8
"Marion",197,"0",2020-07-29,0
"Marlborough",1443,"37",2020-07-29,37
"Marshfield",484,"7",2020-07-29,7
"Mashpee",407,"8",2020-07-29,8
"Mattapoisett",127,"2",2020-07-29,2
"Maynard",213,"2",2020-07-29,2
"Medfield",272,"0",2020-07-29,0
"Medford",1742,"20",2020-07-29,20
"Medway",223,"2",2020-07-29,2
"Melrose",1941,"30",2020-07-29,30
"Mendon",113,"2",2020-07-29,2
"Merrimac",130,"1",2020-07-29,1
"Methuen",1315,"31",2020-07-29,31
"Middleborough",513,"3",2020-07-29,3
"Middlefield",0,"0",2020-07-29,0
"Middleton",216,"5",2020-07-29,5
"Milford",652,"10",2020-07-29,10
"Millbury",281,"2",2020-07-29,2
"Millis",169,"0",2020-07-29,0
"Millville",55,"1",2020-07-29,1
"Milton",730,"12",2020-07-29,12
"Monroe",0,"0",2020-07-29,0
"Monson",200,"0",2020-07-29,0
"Montague",237,"0",2020-07-29,0
"Monterey",28,"0",2020-07-29,0
"Montgomery",8,"0",2020-07-29,0
"Mount Washington",1,"0",2020-07-29,0
"Nahant",138,"4",2020-07-29,4
"Nantucket",508,"8",2020-07-29,8
"Natick",791,"13",2020-07-29,13
"Needham",821,"21",2020-07-29,21
"New Ashford",5,"0",2020-07-29,0
"New Bedford",2184,"49",2020-07-29,49
"New Braintree",18,"1",2020-07-29,1
"New Marlborough",21,"0",2020-07-29,0
"New Salem",29,"1",2020-07-29,1
"Newbury",188,"0",2020-07-29,0
"Newburyport",753,"12",2020-07-29,12
"Newton",2641,"26",2020-07-29,26
"Norfolk",249,"8",2020-07-29,8
"North Adams",326,"3",2020-07-29,3
"North Andover",847,"6",2020-07-29,6
"North Attleborough",386,"3",2020-07-29,3
"North Brookfield",108,"2",2020-07-29,2
"North Reading",365,"6",2020-07-29,6
"Northampton",1175,"11",2020-07-29,11
"Northborough",328,"3",2020-07-29,3
"Northbridge",269,"3",2020-07-29,3
"Northfield",81,"0",2020-07-29,0
"Norton",256,"5",2020-07-29,5
"Norwell",201,"1",2020-07-29,1
"Norwood",642,"8",2020-07-29,8
"Oak Bluffs",194,"1",2020-07-29,1
"Oakham",62,"2",2020-07-29,2
"Orange",202,"1",2020-07-29,1
"Orleans",111,"2",2020-07-29,2
"Otis",35,"0",2020-07-29,0
"Oxford",282,"4",2020-07-29,4
"Palmer",288,"4",2020-07-29,4
"Paxton",98,"1",2020-07-29,1
"Peabody",1791,"32",2020-07-29,32
"Pelham",24,"0",2020-07-29,0
"Pembroke",333,"5",2020-07-29,5
"Pepperell",207,"2",2020-07-29,2
"Peru",17,"0",2020-07-29,0
"Petersham",13,"0",2020-07-29,0
"Phillipston",28,"0",2020-07-29,0
"Pittsfield",1534,"14",2020-07-29,14
"Plainfield",18,"0",2020-07-29,0
"Plainville",179,"9",2020-07-29,9
"Plymouth",1433,"14",2020-07-29,14
"Plympton",50,"0",2020-07-29,0
"Princeton",92,"2",2020-07-29,2
"Provincetown",192,"1",2020-07-29,1
"Quincy",2256,"62",2020-07-29,62
"Randolph",863,"20",2020-07-29,20
"Raynham",237,"5",2020-07-29,5
"Reading",661,"5",2020-07-29,5
"Rehoboth",161,"5",2020-07-29,5
"Revere",1647,"103",2020-07-29,103
"Richmond",50,"0",2020-07-29,0
"Rochester",91,"2",2020-07-29,2
"Rockland",319,"4",2020-07-29,4
"Rockport",140,"1",2020-07-29,1
"Rowe",12,"0",2020-07-29,0
"Rowley",135,"4",2020-07-29,4
"Royalston",28,"0",2020-07-29,0
"Russell",32,"2",2020-07-29,2
"Rutland",189,"0",2020-07-29,0
"Salem",1318,"26",2020-07-29,26
"Salisbury",207,"0",2020-07-29,0
"Sandisfield",96,"0",2020-07-29,0
"Sandwich",374,"4",2020-07-29,4
"Saugus",792,"23",2020-07-29,23
"Savoy",17,"0",2020-07-29,0
"Scituate",333,"3",2020-07-29,3
"Seekonk",172,"4",2020-07-29,4
"Sharon",372,"8",2020-07-29,8
"Sheffield",102,"1",2020-07-29,1
"Shelburne",101,"0",2020-07-29,0
"Sherborn",104,"3",2020-07-29,3
"Shirley",131,"1",2020-07-29,1
"Shrewsbury",909,"14",2020-07-29,14
"Shutesbury",51,"0",2020-07-29,0
"Somerset",292,"11",2020-07-29,11
"Somerville",3225,"28",2020-07-29,28
"South Hadley",393,"7",2020-07-29,7
"Southampton",153,"1",2020-07-29,1
"Southborough",224,"0",2020-07-29,0
"Southbridge",655,"14",2020-07-29,14
"Southwick",191,"0",2020-07-29,0
"Spencer",316,"9",2020-07-29,9
"Springfield",4126,"118",2020-07-29,118
"Sterling",205,"3",2020-07-29,3
"Stockbridge",53,"0",2020-07-29,0
"Stoneham",657,"12",2020-07-29,12
"Stoughton",559,"9",2020-07-29,9
"Stow",183,"1",2020-07-29,1
"Sturbridge",259,"2",2020-07-29,2
"Sudbury",441,"5",2020-07-29,5
"Sunderland",74,"0",2020-07-29,0
"Sutton",171,"1",2020-07-29,1
"Swampscott",436,"7",2020-07-29,7
"Swansea",251,"8",2020-07-29,8
"Taunton",1236,"19",2020-07-29,19
"Templeton",266,"0",2020-07-29,0
"Tewksbury",674,"4",2020-07-29,4
"Tisbury",384,"3",2020-07-29,3
"Tolland",3,"0",2020-07-29,0
"Topsfield",279,"0",2020-07-29,0
"Townsend",165,"0",2020-07-29,0
"Truro",40,"0",2020-07-29,0
"Tyngsborough",291,"2",2020-07-29,2
"Tyringham",9,"0",2020-07-29,0
"Upton",134,"0",2020-07-29,0
"Uxbridge",287,"1",2020-07-29,1
"Wakefield",721,"6",2020-07-29,6
"Wales",41,"1",2020-07-29,1
"Walpole",507,"4",2020-07-29,4
"Waltham",1491,"18",2020-07-29,18
"Ware",265,"1",2020-07-29,1
"Wareham",431,"4",2020-07-29,4
"Warren",120,"1",2020-07-29,1
"Warwick",15,"0",2020-07-29,0
"Washington",8,"0",2020-07-29,0
"Watertown",856,"9",2020-07-29,9
"Wayland",309,"5",2020-07-29,5
"Webster",632,"6",2020-07-29,6
"Wellesley",663,"12",2020-07-29,12
"Wellfleet",61,"0",2020-07-29,0
"Wendell",24,"0",2020-07-29,0
"Wenham",93,"0",2020-07-29,0
"West Boylston",193,"10",2020-07-29,10
"West Bridgewater",131,"3",2020-07-29,3
"West Brookfield",213,"1",2020-07-29,1
"West Newbury",85,"5",2020-07-29,5
"West Springfield",633,"12",2020-07-29,12
"West Stockbridge",36,"0",2020-07-29,0
"West Tisbury",157,"0",2020-07-29,0
"Westborough",372,"3",2020-07-29,3
"Westfield",880,"18",2020-07-29,18
"Westford",536,"7",2020-07-29,7
"Westhampton",22,"0",2020-07-29,0
"Westminster",202,"1",2020-07-29,1
"Weston",394,"3",2020-07-29,3
"Westport",288,"3",2020-07-29,3
"Westwood",391,"4",2020-07-29,4
"Weymouth",1233,"16",2020-07-29,16
"Whately",23,"2",2020-07-29,2
"Whitman",266,"5",2020-07-29,5
"Wilbraham",344,"5",2020-07-29,5
"Williamsburg",134,"1",2020-07-29,1
"Williamstown",224,"0",2020-07-29,0
"Wilmington",498,"2",2020-07-29,2
"Winchendon",214,"0",2020-07-29,0
"Winchester",790,"3",2020-07-29,3
"Windsor",25,"0",2020-07-29,0
"Winthrop",674,"23",2020-07-29,23
"Woburn",1020,"17",2020-07-29,17
"Worcester",6785,"148",2020-07-29,148
"Worthington",35,"0",2020-07-29,0
"Wrentham",280,"11",2020-07-29,11
"Yarmouth",572,"6",2020-07-29,6
"Unknown",4490,"37",2020-07-29,37
"State",187587,"3265",2020-07-29,3265
