"town","tests_total","tests_pos","dt","tests_posn"
"Abington",1733,"233",2020-06-24,233
"Acton",1830,"157",2020-06-24,157
"Acushnet",997,"88",2020-06-24,88
"Adams",530,"35",2020-06-24,35
"Agawam",2901,"452",2020-06-24,452
"Alford",21,"<5",2020-06-24,2
"Amesbury",1606,"178",2020-06-24,178
"Amherst",1823,"94",2020-06-24,94
"Andover",3373,"305",2020-06-24,305
"Aquinnah",37,"<5",2020-06-24,2
"Arlington",3733,"304",2020-06-24,304
"Ashburnham",493,"32",2020-06-24,32
"Ashby",229,"15",2020-06-24,15
"Ashfield",79,"<5",2020-06-24,2
"Ashland",1741,"247",2020-06-24,247
"Athol",1243,"63",2020-06-24,63
"Attleboro",4385,"654",2020-06-24,654
"Auburn",1738,"213",2020-06-24,213
"Avon",502,"72",2020-06-24,72
"Ayer",2075,"136",2020-06-24,136
"Barnstable",3910,"362",2020-06-24,362
"Barre",451,"62",2020-06-24,62
"Becket",121,"14",2020-06-24,14
"Bedford",4575,"271",2020-06-24,271
"Belchertown",1017,"102",2020-06-24,102
"Bellingham",1279,"125",2020-06-24,125
"Belmont",2049,"230",2020-06-24,230
"Berkley",635,"70",2020-06-24,70
"Berlin",256,"20",2020-06-24,20
"Bernardston",164,"6",2020-06-24,6
"Beverly",4007,"609",2020-06-24,609
"Billerica",4205,"539",2020-06-24,539
"Blackstone",712,"47",2020-06-24,47
"Blandford",56,"<5",2020-06-24,2
"Bolton",340,"11",2020-06-24,11
"Boston",82575,"13897",2020-06-24,13897
"Bourne",1821,"154",2020-06-24,154
"Boxborough",372,"25",2020-06-24,25
"Boxford",555,"41",2020-06-24,41
"Boylston",364,"20",2020-06-24,20
"Braintree",4578,"812",2020-06-24,812
"Brewster",855,"103",2020-06-24,103
"Bridgewater",3845,"359",2020-06-24,359
"Brimfield",208,"6",2020-06-24,6
"Brockton",16772,"4197",2020-06-24,4197
"Brookfield",214,"19",2020-06-24,19
"Brookline",4453,"386",2020-06-24,386
"Buckland",24,"8",2020-06-24,8
"Burlington",2497,"265",2020-06-24,265
"Cambridge",17593,"986",2020-06-24,986
"Canton",2792,"285",2020-06-24,285
"Carlisle",321,"15",2020-06-24,15
"Carver",943,"58",2020-06-24,58
"Charlemont",83,"<5",2020-06-24,2
"Charlton",1277,"75",2020-06-24,75
"Chatham",556,"18",2020-06-24,18
"Chelmsford",4178,"333",2020-06-24,333
"Chelsea",8102,"2907",2020-06-24,2907
"Cheshire",208,"<5",2020-06-24,2
"Chester",80,"<5",2020-06-24,2
"Chesterfield",67,"<5",2020-06-24,2
"Chicopee",4827,"433",2020-06-24,433
"Chilmark",191,"<5",2020-06-24,2
"Clarksburg",84,"7",2020-06-24,7
"Clinton",1683,"245",2020-06-24,245
"Cohasset",501,"25",2020-06-24,25
"Colrain",93,"<5",2020-06-24,2
"Concord",2581,"173",2020-06-24,173
"Conway",126,"<5",2020-06-24,2
"Cummington",63,"<5",2020-06-24,2
"Dalton",544,"13",2020-06-24,13
"Danvers",4151,"725",2020-06-24,725
"Dartmouth",4084,"386",2020-06-24,386
"Dedham",2967,"399",2020-06-24,399
"Deerfield",343,"10",2020-06-24,10
"Dennis",1197,"96",2020-06-24,96
"Dighton",687,"67",2020-06-24,67
"Douglas",595,"46",2020-06-24,46
"Dover",319,"18",2020-06-24,18
"Dracut",4229,"459",2020-06-24,459
"Dudley",772,"93",2020-06-24,93
"Dunstable",232,"10",2020-06-24,10
"Duxbury",1570,"111",2020-06-24,111
"East Bridgewater",1383,"177",2020-06-24,177
"East Brookfield",122,"14",2020-06-24,14
"East Longmeadow",1661,"271",2020-06-24,271
"Eastham",350,"10",2020-06-24,10
"Easthampton",1272,"83",2020-06-24,83
"Easton",2309,"269",2020-06-24,269
"Edgartown",625,"7",2020-06-24,7
"Egremont",68,"5",2020-06-24,5
"Erving",132,"6",2020-06-24,6
"Essex",260,"24",2020-06-24,24
"Everett",6774,"1747",2020-06-24,1747
"Fairhaven",2268,"240",2020-06-24,240
"Fall River",12348,"1566",2020-06-24,1566
"Falmouth",3503,"201",2020-06-24,201
"Fitchburg",5768,"786",2020-06-24,786
"Florida",36,"<5",2020-06-24,2
"Foxborough",1467,"112",2020-06-24,112
"Framingham",8929,"1720",2020-06-24,1720
"Franklin",2261,"132",2020-06-24,132
"Freetown",820,"97",2020-06-24,97
"Gardner",3519,"193",2020-06-24,193
"Georgetown",609,"56",2020-06-24,56
"Gill",79,"<5",2020-06-24,2
"Gloucester",2225,"257",2020-06-24,257
"Goshen",26,"<5",2020-06-24,2
"Gosnold",0,"0",2020-06-24,0
"Grafton",1377,"94",2020-06-24,94
"Granby",350,"28",2020-06-24,28
"Granville",116,"10",2020-06-24,10
"Great Barrington",1054,"72",2020-06-24,72
"Greenfield",1832,"201",2020-06-24,201
"Groton",872,"43",2020-06-24,43
"Groveland",537,"33",2020-06-24,33
"Hadley",596,"43",2020-06-24,43
"Halifax",665,"56",2020-06-24,56
"Hamilton",525,"36",2020-06-24,36
"Hampden",454,"96",2020-06-24,96
"Hancock",14,"<5",2020-06-24,2
"Hanover",1107,"74",2020-06-24,74
"Hanson",932,"108",2020-06-24,108
"Hardwick",171,"9",2020-06-24,9
"Harvard",356,"18",2020-06-24,18
"Harwich",1304,"123",2020-06-24,123
"Hatfield",237,"17",2020-06-24,17
"Haverhill",8413,"1217",2020-06-24,1217
"Hawley",5,"0",2020-06-24,0
"Heath",25,"0",2020-06-24,0
"Hingham",2270,"275",2020-06-24,275
"Hinsdale",177,"<5",2020-06-24,2
"Holbrook",1259,"193",2020-06-24,193
"Holden",1896,"119",2020-06-24,119
"Holland",111,"8",2020-06-24,8
"Holliston",1101,"56",2020-06-24,56
"Holyoke",5329,"905",2020-06-24,905
"Hopedale",661,"42",2020-06-24,42
