"town","tests_total","tests_pos","dt","tests_posn"
"Abington",1284,"30",2020-11-05,30
"Acton",1852,"14",2020-11-05,14
"Acushnet",1304,"48",2020-11-05,48
"Adams",516,"<5",2020-11-05,2
"Agawam",2701,"96",2020-11-05,96
"Alford",11,"0",2020-11-05,0
"Amesbury",1090,"12",2020-11-05,12
"Amherst",23950,"21",2020-11-05,21
"Andover",5314,"57",2020-11-05,57
"Aquinnah",29,"<5",2020-11-05,2
"Arlington",5407,"33",2020-11-05,33
"Ashburnham",625,"15",2020-11-05,15
"Ashby",212,"7",2020-11-05,7
"Ashfield",131,"<5",2020-11-05,2
"Ashland",1733,"44",2020-11-05,44
"Athol",1073,"22",2020-11-05,22
"Attleboro",3341,"85",2020-11-05,85
"Auburn",1538,"22",2020-11-05,22
"Avon",296,"5",2020-11-05,5
"Ayer",622,"<5",2020-11-05,2
"Barnstable",2588,"53",2020-11-05,53
"Barre",402,"<5",2020-11-05,2
"Becket",80,"0",2020-11-05,0
"Bedford",1421,"18",2020-11-05,18
"Belchertown",1641,"15",2020-11-05,15
"Bellingham",1061,"26",2020-11-05,26
"Belmont",3284,"17",2020-11-05,17
"Berkley",514,"15",2020-11-05,15
"Berlin",283,"<5",2020-11-05,2
"Bernardston",225,"<5",2020-11-05,2
"Beverly",9075,"85",2020-11-05,85
"Billerica",3264,"82",2020-11-05,82
"Blackstone",550,"9",2020-11-05,9
"Blandford",76,"8",2020-11-05,8
"Bolton",511,"7",2020-11-05,7
"Boston",187615,"1784",2020-11-05,1784
"Bourne",1879,"32",2020-11-05,32
"Boxborough",369,"<5",2020-11-05,2
"Boxford",752,"8",2020-11-05,8
"Boylston",427,"9",2020-11-05,9
"Braintree",3831,"64",2020-11-05,64
"Brewster",541,"<5",2020-11-05,2
"Bridgewater",3641,"43",2020-11-05,43
"Brimfield",238,"<5",2020-11-05,2
"Brockton",9039,"335",2020-11-05,335
"Brookfield",229,"<5",2020-11-05,2
"Brookline",10443,"41",2020-11-05,41
"Buckland",13,"<5",2020-11-05,2
"Burlington",2137,"23",2020-11-05,23
"Cambridge",46189,"78",2020-11-05,78
"Canton",2633,"35",2020-11-05,35
"Carlisle",382,"5",2020-11-05,5
"Carver",677,"11",2020-11-05,11
"Charlemont",99,"0",2020-11-05,0
"Charlton",1058,"13",2020-11-05,13
"Chatham",280,"5",2020-11-05,5
"Chelmsford",2886,"55",2020-11-05,55
"Chelsea",5166,"233",2020-11-05,233
"Cheshire",182,"<5",2020-11-05,2
"Chester",54,"0",2020-11-05,0
"Chesterfield",71,"<5",2020-11-05,2
"Chicopee",4473,"128",2020-11-05,128
"Chilmark",147,"0",2020-11-05,0
"Clarksburg",82,"0",2020-11-05,0
"Clinton",1154,"33",2020-11-05,33
"Cohasset",647,"<5",2020-11-05,2
"Colrain",146,"<5",2020-11-05,2
"Concord",2687,"7",2020-11-05,7
"Conway",142,"0",2020-11-05,0
"Cummington",56,"0",2020-11-05,0
"Dalton",356,"<5",2020-11-05,2
"Danvers",2857,"35",2020-11-05,35
"Dartmouth",3904,"104",2020-11-05,104
"Dedham",3050,"51",2020-11-05,51
"Deerfield",2325,"<5",2020-11-05,2
"Dennis",643,"<5",2020-11-05,2
"Dighton",591,"24",2020-11-05,24
"Douglas",572,"16",2020-11-05,16
"Dover",649,"8",2020-11-05,8
"Dracut",2586,"80",2020-11-05,80
"Dudley",3347,"6",2020-11-05,6
"Dunstable",244,"<5",2020-11-05,2
"Duxbury",1235,"16",2020-11-05,16
"East Bridgewater",922,"21",2020-11-05,21
