"town","tests_total","tests_pos","dt","tests_posn"
"Abington",933,"11",2020-10-07,11
"Acton",1515,"8",2020-10-07,8
"Acushnet",489,"14",2020-10-07,14
"Adams",467,"<5",2020-10-07,2
"Agawam",1870,"6",2020-10-07,6
"Alford",9,"0",2020-10-07,0
"Amesbury",907,"7",2020-10-07,7
"Amherst",23661,"95",2020-10-07,95
"Andover",3626,"25",2020-10-07,25
"Aquinnah",17,"<5",2020-10-07,2
"Arlington",4186,"16",2020-10-07,16
"Ashburnham",444,"0",2020-10-07,0
"Ashby",139,"0",2020-10-07,0
"Ashfield",115,"<5",2020-10-07,2
"Ashland",1366,"7",2020-10-07,7
"Athol",694,"6",2020-10-07,6
"Attleboro",2669,"68",2020-10-07,68
"Auburn",1344,"16",2020-10-07,16
"Avon",274,"5",2020-10-07,5
"Ayer",679,"<5",2020-10-07,2
"Barnstable",1922,"26",2020-10-07,26
"Barre",303,"<5",2020-10-07,2
"Becket",95,"0",2020-10-07,0
"Bedford",1016,"13",2020-10-07,13
"Belchertown",1394,"8",2020-10-07,8
"Bellingham",795,"<5",2020-10-07,2
"Belmont",2848,"9",2020-10-07,9
"Berkley",350,"<5",2020-10-07,2
"Berlin",178,"<5",2020-10-07,2
"Bernardston",153,"0",2020-10-07,0
"Beverly",7640,"9",2020-10-07,9
"Billerica",2516,"33",2020-10-07,33
"Blackstone",410,"<5",2020-10-07,2
"Blandford",50,"0",2020-10-07,0
"Bolton",400,"<5",2020-10-07,2
"Boston",176376,"972",2020-10-07,972
"Bourne",1416,"22",2020-10-07,22
"Boxborough",332,"<5",2020-10-07,2
"Boxford",489,"<5",2020-10-07,2
"Boylston",320,"0",2020-10-07,0
"Braintree",2977,"36",2020-10-07,36
"Brewster",429,"<5",2020-10-07,2
"Bridgewater",2750,"20",2020-10-07,20
"Brimfield",183,"<5",2020-10-07,2
"Brockton",6048,"122",2020-10-07,122
"Brookfield",158,"0",2020-10-07,0
"Brookline",9464,"29",2020-10-07,29
"Buckland",14,"0",2020-10-07,0
"Burlington",1790,"29",2020-10-07,29
"Cambridge",42945,"38",2020-10-07,38
"Canton",1994,"22",2020-10-07,22
"Carlisle",330,"<5",2020-10-07,2
"Carver",524,"<5",2020-10-07,2
"Charlemont",69,"0",2020-10-07,0
"Charlton",920,"7",2020-10-07,7
"Chatham",283,"<5",2020-10-07,2
"Chelmsford",2348,"45",2020-10-07,45
"Chelsea",5273,"118",2020-10-07,118
"Cheshire",167,"0",2020-10-07,0
"Chester",72,"0",2020-10-07,0
"Chesterfield",60,"0",2020-10-07,0
"Chicopee",3522,"39",2020-10-07,39
"Chilmark",124,"0",2020-10-07,0
"Clarksburg",65,"0",2020-10-07,0
"Clinton",798,"14",2020-10-07,14
"Cohasset",422,"<5",2020-10-07,2
"Colrain",106,"<5",2020-10-07,2
"Concord",1761,"<5",2020-10-07,2
"Conway",118,"0",2020-10-07,0
"Cummington",65,"0",2020-10-07,0
"Dalton",325,"<5",2020-10-07,2
"Danvers",2038,"12",2020-10-07,12
"Dartmouth",2806,"42",2020-10-07,42
"Dedham",2714,"19",2020-10-07,19
"Deerfield",2347,"<5",2020-10-07,2
"Dennis",500,"<5",2020-10-07,2
"Dighton",406,"5",2020-10-07,5
"Douglas",480,"0",2020-10-07,0
"Dover",534,"<5",2020-10-07,2
"Dracut",2106,"36",2020-10-07,36
"Dudley",3226,"14",2020-10-07,14
"Dunstable",161,"0",2020-10-07,0
"Duxbury",1058,"13",2020-10-07,13
"East Bridgewater",709,"16",2020-10-07,16
"East Brookfield",103,"0",2020-10-07,0
"East Longmeadow",1196,"15",2020-10-07,15
"Eastham",181,"<5",2020-10-07,2
"Easthampton",2746,"<5",2020-10-07,2
"Easton",5547,"16",2020-10-07,16
"Edgartown",387,"<5",2020-10-07,2
"Egremont",46,"0",2020-10-07,0
"Erving",126,"0",2020-10-07,0
"Essex",170,"<5",2020-10-07,2
"Everett",4251,"131",2020-10-07,131
"Fairhaven",1001,"14",2020-10-07,14
"Fall River",5238,"91",2020-10-07,91
"Falmouth",2033,"15",2020-10-07,15
"Fitchburg",2390,"14",2020-10-07,14
"Florida",30,"<5",2020-10-07,2
"Foxborough",2367,"13",2020-10-07,13
"Framingham",6471,"133",2020-10-07,133
"Franklin",1884,"15",2020-10-07,15
"Freetown",451,"8",2020-10-07,8
"Gardner",1011,"<5",2020-10-07,2
"Georgetown",494,"<5",2020-10-07,2
"Gill",153,"0",2020-10-07,0
"Gloucester",1252,"10",2020-10-07,10
"Goshen",41,"0",2020-10-07,0
"Gosnold",NA,"0",2020-10-07,0
"Grafton",1648,"<5",2020-10-07,2
"Granby",484,"<5",2020-10-07,2
"Granville",90,"<5",2020-10-07,2
"Great Barrington",1141,"<5",2020-10-07,2
"Greenfield",1290,"<5",2020-10-07,2
"Groton",1236,"5",2020-10-07,5
"Groveland",445,"6",2020-10-07,6
"Hadley",1178,"<5",2020-10-07,2
"Halifax",400,"6",2020-10-07,6
"Hamilton",418,"<5",2020-10-07,2
"Hampden",354,"<5",2020-10-07,2
"Hancock",7,"0",2020-10-07,0
"Hanover",811,"7",2020-10-07,7
"Hanson",560,"6",2020-10-07,6
"Hardwick",294,"<5",2020-10-07,2
"Harvard",384,"<5",2020-10-07,2
"Harwich",515,"12",2020-10-07,12
"Hatfield",287,"0",2020-10-07,0
"Haverhill",6075,"184",2020-10-07,184
"Hawley",2,"0",2020-10-07,0
"Heath",39,"0",2020-10-07,0
"Hingham",1811,"21",2020-10-07,21
"Hinsdale",106,"0",2020-10-07,0
"Holbrook",694,"12",2020-10-07,12
"Holden",1562,"9",2020-10-07,9
"Holland",129,"0",2020-10-07,0
"Holliston",1184,"11",2020-10-07,11
"Holyoke",2834,"62",2020-10-07,62
"Hopedale",328,"<5",2020-10-07,2
"Hopkinton",1331,"6",2020-10-07,6
"Hubbardston",237,"<5",2020-10-07,2
"Hudson",1262,"32",2020-10-07,32
"Hull",618,"8",2020-10-07,8
"Huntington",120,"0",2020-10-07,0
"Ipswich",778,"<5",2020-10-07,2
