"town","tests_total","tests_pos","dt","tests_posn"
"Abington",670,"15",2020-09-02,15
"Acton",1229,"11",2020-09-02,11
"Acushnet",338,"<5",2020-09-02,2
"Adams",347,"<5",2020-09-02,2
"Agawam",1489,"17",2020-09-02,17
"Alford",10,"0",2020-09-02,0
"Amesbury",602,"<5",2020-09-02,2
"Amherst",15202,"20",2020-09-02,20
"Andover",1860,"9",2020-09-02,9
"Aquinnah",12,"0",2020-09-02,0
"Arlington",2601,"10",2020-09-02,10
"Ashburnham",255,"0",2020-09-02,0
"Ashby",117,"<5",2020-09-02,2
"Ashfield",84,"0",2020-09-02,0
"Ashland",920,"15",2020-09-02,15
"Athol",572,"<5",2020-09-02,2
"Attleboro",1615,"26",2020-09-02,26
"Auburn",781,"6",2020-09-02,6
"Avon",182,"0",2020-09-02,0
"Ayer",510,"<5",2020-09-02,2
"Barnstable",1522,"28",2020-09-02,28
"Barre",206,"<5",2020-09-02,2
"Becket",42,"0",2020-09-02,0
"Bedford",683,"<5",2020-09-02,2
"Belchertown",1063,"<5",2020-09-02,2
"Bellingham",626,"<5",2020-09-02,2
"Belmont",1537,"5",2020-09-02,5
"Berkley",274,"<5",2020-09-02,2
"Berlin",111,"0",2020-09-02,0
"Bernardston",122,"<5",2020-09-02,2
"Beverly",4829,"18",2020-09-02,18
"Billerica",1661,"17",2020-09-02,17
"Blackstone",343,"5",2020-09-02,5
"Blandford",44,"<5",2020-09-02,2
"Bolton",299,"0",2020-09-02,0
"Boston",60883,"716",2020-09-02,716
"Bourne",911,"<5",2020-09-02,2
"Boxborough",237,"0",2020-09-02,0
"Boxford",420,"<5",2020-09-02,2
"Boylston",239,"0",2020-09-02,0
"Braintree",1831,"16",2020-09-02,16
"Brewster",356,"0",2020-09-02,0
"Bridgewater",2073,"15",2020-09-02,15
"Brimfield",162,"<5",2020-09-02,2
"Brockton",4584,"96",2020-09-02,96
"Brookfield",217,"0",2020-09-02,0
"Brookline",3636,"19",2020-09-02,19
"Buckland",11,"0",2020-09-02,0
"Burlington",1083,"5",2020-09-02,5
"Cambridge",17402,"26",2020-09-02,26
"Canton",1432,"11",2020-09-02,11
"Carlisle",224,"0",2020-09-02,0
"Carver",350,"<5",2020-09-02,2
"Charlemont",62,"0",2020-09-02,0
"Charlton",772,"<5",2020-09-02,2
"Chatham",171,"<5",2020-09-02,2
"Chelmsford",1609,"14",2020-09-02,14
"Chelsea",3061,"155",2020-09-02,155
"Cheshire",140,"0",2020-09-02,0
"Chester",37,"0",2020-09-02,0
"Chesterfield",50,"0",2020-09-02,0
"Chicopee",2484,"23",2020-09-02,23
"Chilmark",151,"0",2020-09-02,0
"Clarksburg",55,"<5",2020-09-02,2
"Clinton",600,"13",2020-09-02,13
"Cohasset",365,"<5",2020-09-02,2
"Colrain",64,"0",2020-09-02,0
"Concord",1145,"<5",2020-09-02,2
"Conway",111,"0",2020-09-02,0
"Cummington",44,"0",2020-09-02,0
